student_id,ANATOMY,BIOCHEMISTRY,PHYSIOLOGY,PATHOLOGY,MICROBIOLOGY,PHARMACOLOGY,IM,SURGERY,PEDIA,OBGYN,PREV MED,LEGAL MED
S143,26.166666666666668,28.166666666666668,20.833333333333332,24.0,21.666666666666668,27.833333333333332,23.333333333333332,21.833333333333332,22.833333333333332,21.166666666666668,26.166666666666668,26.833333333333332
S144,24.333333333333332,23.0,19.833333333333332,22.166666666666668,21.75,16.6,22.0,18.2,21.0,23.166666666666668,22.5,29.4
S145,33.75,27.8,19.333333333333332,24.2,31.5,26.0,24.166666666666668,30.8,29.5,25.4,27.0,28.4
S146,26.666666666666668,25.0,25.0,24.833333333333332,30.333333333333332,25.833333333333332,22.166666666666668,24.0,28.833333333333332,26.333333333333332,24.666666666666668,28.5
S147,18.833333333333332,27.5,18.333333333333332,25.333333333333332,25.0,20.4,18.5,18.833333333333332,21.333333333333332,15.0,21.333333333333332,21.5
S148,27.4,26.0,15.0,24.25,21.0,20.0,18.0,20.25,22.833333333333332,21.0,23.833333333333332,25.5
S149,16.5,23.166666666666668,19.0,18.2,20.166666666666668,17.0,18.833333333333332,16.833333333333332,25.0,27.0,24.6,26.6
S150,21.0,30.2,19.833333333333332,20.166666666666668,19.666666666666668,19.833333333333332,22.0,22.8,28.25,28.25,21.2,29.0
S151,20.833333333333332,25.5,25.5,26.2,25.75,17.6,22.666666666666668,22.333333333333332,23.0,15.666666666666666,27.333333333333332,25.5
S152,29.6,31.8,26.4,25.6,34.5,25.4,20.666666666666668,22.166666666666668,32.6,25.6,29.2,33.5
S153,22.833333333333332,25.666666666666668,26.4,29.0,26.666666666666668,23.666666666666668,28.5,25.833333333333332,33.4,28.6,28.333333333333332,31.0
S154,19.666666666666668,22.0,19.5,20.0,19.5,17.333333333333332,21.333333333333332,10.666666666666666,24.0,14.333333333333334,22.666666666666668,24.666666666666668
S155,25.5,32.0,26.6,27.6,29.333333333333332,24.166666666666668,23.75,22.75,21.75,21.0,24.2,31.5
S156,25.5,23.4,20.0,21.5,21.833333333333332,24.0,22.0,27.333333333333332,27.833333333333332,25.166666666666668,29.833333333333332,29.0
S157,29.0,32.8,25.8,27.2,28.0,24.5,22.666666666666668,30.0,38.333333333333336,26.5,25.5,26.0
S158,22.5,30.166666666666668,29.666666666666668,24.166666666666668,28.0,20.2,19.4,16.25,23.75,18.25,22.6,23.6
S159,12.0,18.5,16.0,16.0,22.0,17.0,21.5,25.333333333333332,24.8,27.5,21.5,28.4
S160,22.8,29.4,22.666666666666668,23.166666666666668,17.833333333333332,19.0,22.166666666666668,19.666666666666668,28.0,32.8,25.4,30.2
S161,24.0,29.166666666666668,24.166666666666668,22.5,20.666666666666668,19.166666666666668,24.333333333333332,21.833333333333332,29.0,25.666666666666668,24.0,31.0
S162,27.666666666666668,28.333333333333332,25.6,22.25,30.0,32.833333333333336,21.6,22.666666666666668,29.75,34.8,28.8,24.0
S163,25.25,22.0,17.0,19.0,16.25,19.2,22.0,17.8,24.4,18.75,23.0,25.6
S164,34.5,33.166666666666664,33.6,44.0,32.8,29.2,22.6,34.2,30.0,26.8,30.333333333333332,31.5
S165,29.5,32.0,23.4,24.0,24.833333333333332,26.5,19.333333333333332,25.0,22.6,22.666666666666668,28.833333333333332,30.833333333333332
S166,22.0,22.666666666666668,20.333333333333332,24.166666666666668,24.0,19.0,21.166666666666668,26.833333333333332,27.666666666666668,24.333333333333332,25.5,35.2
S167,26.833333333333332,25.5,23.0,26.8,23.5,22.666666666666668,26.8,25.6,27.4,30.8,23.666666666666668,31.166666666666668
S168,28.333333333333332,29.4,25.5,29.5,26.0,26.4,24.666666666666668,23.333333333333332,27.0,27.2,25.333333333333332,28.8
S169,27.0,23.5,20.25,25.25,18.25,21.75,25.75,24.0,33.4,25.5,24.0,30.0
S170,30.666666666666668,34.6,29.5,25.6,29.4,27.2,31.0,35.0,31.0,25.4,35.8,37.5
S171,23.0,27.2,18.8,22.6,24.0,24.5,21.8,28.2,24.0,31.8,25.333333333333332,29.166666666666668
S172,22.8,23.666666666666668,22.333333333333332,26.8,24.4,23.2,22.666666666666668,20.333333333333332,29.666666666666668,26.333333333333332,30.666666666666668,33.666666666666664
S173,33.0,30.333333333333332,26.0,26.5,33.0,32.5,25.666666666666668,24.0,27.0,26.666666666666668,24.2,28.4
S174,24.0,25.8,21.6,22.4,18.0,18.0,23.75,20.0,26.75,22.0,24.5,29.666666666666668
S175,30.0,21.666666666666668,17.0,25.0,18.0,18.0,25.0,14.0,24.0,21.0,25.0,23.0
S176,20.666666666666668,20.666666666666668,19.333333333333332,26.333333333333332,22.333333333333332,20.0,17.666666666666668,18.0,21.75,18.6,25.0,34.333333333333336
S177,16.0,17.0,10.0,20.5,21.333333333333332,15.5,18.666666666666668,14.0,,19.0,20.0,20.0
S178,,,,,,,,25.0,,24.0,29.0,31.0
S179,23.0,30.5,19.666666666666668,22.333333333333332,22.0,25.0,25.0,28.0,33.333333333333336,26.0,29.0,34.666666666666664
S180,15.0,22.333333333333332,24.0,20.0,21.0,20.0,32.0,17.5,34.666666666666664,33.0,21.0,23.0
S181,28.0,32.75,26.75,38.0,34.0,27.666666666666668,25.5,25.75,30.5,24.5,28.25,36.0
S182,23.2,26.8,24.8,28.25,31.0,25.25,25.5,26.75,28.75,24.25,30.0,29.25
S183,31.0,28.0,18.666666666666668,27.0,21.333333333333332,19.333333333333332,19.0,18.333333333333332,21.666666666666668,18.333333333333332,20.0,23.0
S184,32.8,34.6,29.75,33.6,39.0,34.5,26.4,34.2,35.2,31.6,36.5,37.4
S185,27.75,33.25,29.75,33.25,27.5,31.0,26.5,24.5,28.5,27.25,34.75,32.75
S186,30.8,32.2,28.2,29.0,26.8,29.4,24.2,30.6,35.4,28.0,29.6,36.2
S187,33.6,37.5,34.166666666666664,35.833333333333336,36.666666666666664,35.4,33.4,32.8,29.4,22.833333333333332,35.2,35.833333333333336
S188,29.0,30.8,28.6,27.8,32.6,32.6,28.6,28.2,31.6,25.0,32.6,34.4
S189,31.6,35.8,31.2,34.2,28.6,27.0,32.0,31.4,34.6,29.8,32.0,34.8
S190,33.0,34.333333333333336,27.833333333333332,31.666666666666668,32.5,33.0,26.166666666666668,30.5,33.0,26.166666666666668,33.166666666666664,31.5
S191,30.0,32.0,26.166666666666668,28.5,23.6,24.833333333333332,23.6,26.0,29.2,26.833333333333332,28.166666666666668,28.333333333333332
S192,21.833333333333332,25.0,25.666666666666668,27.5,26.666666666666668,25.333333333333332,25.166666666666668,28.833333333333332,25.166666666666668,23.666666666666668,32.166666666666664,35.166666666666664
S193,23.166666666666668,30.666666666666668,21.666666666666668,23.666666666666668,25.0,23.5,22.0,25.166666666666668,26.166666666666668,25.666666666666668,27.5,29.333333333333332
S194,26.0,28.0,21.0,26.8,29.4,28.0,25.4,26.6,30.2,25.2,36.0,33.4
S195,25.2,35.6,23.166666666666668,27.0,29.0,22.0,24.0,24.0,28.666666666666668,22.0,27.833333333333332,29.333333333333332
S196,20.0,26.0,19.25,19.0,22.5,21.5,25.5,20.75,25.0,23.0,26.75,26.25
S197,29.0,34.0,29.6,33.4,32.4,29.2,30.0,34.8,35.0,30.2,32.8,33.6
S198,36.6,34.6,27.2,32.6,32.6,34.8,27.8,34.4,32.2,30.6,31.0,37.8
S199,28.8,29.0,32.0,28.2,28.2,23.8,24.2,25.6,32.4,24.4,28.2,32.6
S200,27.0,31.0,27.0,28.333333333333332,26.666666666666668,27.0,25.333333333333332,23.333333333333332,30.666666666666668,26.666666666666668,33.0,31.333333333333332
S201,40.75,43.5,39.5,43.0,42.5,39.0,38.25,36.75,38.75,37.0,37.5,39.5
S202,29.0,34.5,30.0,31.833333333333332,28.5,28.333333333333332,31.333333333333332,29.0,31.666666666666668,27.833333333333332,32.166666666666664,33.666666666666664
S203,23.333333333333332,27.0,27.666666666666668,24.0,24.333333333333332,23.0,26.666666666666668,20.666666666666668,24.333333333333332,22.333333333333332,25.666666666666668,25.666666666666668
S204,30.0,40.666666666666664,26.666666666666668,35.666666666666664,39.0,33.333333333333336,30.0,28.0,35.666666666666664,33.666666666666664,34.0,37.666666666666664
S205,29.833333333333332,34.5,29.333333333333332,31.5,27.0,27.666666666666668,25.333333333333332,27.166666666666668,32.5,29.5,29.166666666666668,31.333333333333332
S206,29.0,29.0,21.5,29.5,27.5,26.0,28.0,22.5,34.0,26.5,29.5,27.0
S207,25.0,33.75,23.0,20.75,25.5,21.5,20.25,22.75,23.5,21.75,22.5,30.75
S208,25.5,30.5,22.75,25.5,25.75,23.666666666666668,24.0,21.25,30.5,25.75,28.75,27.75
S209,28.666666666666668,29.333333333333332,25.666666666666668,23.666666666666668,26.666666666666668,18.0,17.666666666666668,23.0,21.666666666666668,26.666666666666668,16.666666666666668,28.333333333333332
S210,30.25,34.75,29.0,26.8,25.6,26.8,26.8,27.4,30.4,28.2,28.6,33.2
S211,27.0,38.0,14.5,21.5,25.5,36.0,25.5,23.0,28.0,20.0,26.5,20.5
S212,17.25,25.5,20.5,18.25,19.75,20.75,20.75,22.25,23.5,20.5,23.5,29.0
S213,27.5,28.25,25.75,25.75,24.0,19.5,27.5,23.5,23.75,24.5,26.75,26.5
S214,31.75,24.25,32.25,37.25,26.333333333333332,24.75,21.0,26.75,25.5,22.25,28.25,30.0
S215,31.75,33.25,33.75,32.666666666666664,32.0,30.25,22.5,28.25,33.25,23.25,33.25,31.5
S216,30.75,33.0,29.5,27.8,25.2,26.5,23.0,28.2,28.75,26.75,27.8,29.6
S217,24.0,28.0,29.333333333333332,19.0,29.0,27.0,29.0,23.333333333333332,29.666666666666668,24.666666666666668,30.666666666666668,32.0
S218,26.0,32.0,28.0,31.8,32.4,32.0,30.6,32.2,30.4,25.0,30.0,31.4
S219,28.333333333333332,30.166666666666668,25.333333333333332,28.0,28.0,28.666666666666668,26.166666666666668,25.0,28.6,25.5,29.666666666666668,30.166666666666668
S220,31.6,33.0,33.8,32.2,30.4,28.4,26.4,26.0,29.6,27.0,30.4,31.4
S221,26.6,35.2,33.4,32.8,31.8,27.0,27.2,27.8,32.8,29.8,35.6,34.6
S222,25.8,31.4,24.8,28.0,23.4,20.0,24.75,25.6,29.5,25.6,30.2,27.6
S223,23.666666666666668,32.833333333333336,25.833333333333332,28.333333333333332,27.666666666666668,25.5,25.666666666666668,27.333333333333332,30.2,30.0,26.666666666666668,30.166666666666668
S224,31.25,31.25,28.25,31.25,31.333333333333332,31.0,33.333333333333336,31.5,39.0,33.333333333333336,35.5,33.5
S225,26.5,26.5,35.5,31.5,24.25,28.25,23.333333333333332,32.0,36.0,29.5,36.5,36.5
S226,33.25,34.0,29.0,27.75,31.5,26.75,27.5,28.0,36.0,31.5,25.0,31.5
S227,25.0,27.5,26.0,23.666666666666668,23.666666666666668,26.0,28.0,26.0,24.75,16.5,21.25,26.25
S228,22.0,25.0,17.0,23.0,25.0,20.0,17.333333333333332,22.0,20.0,18.0,30.0,27.666666666666668
S229,,,20.0,,,,23.0,,,,,
